Source,Domain,RSS,Full Name,Short Name,Last Link,Image
BBC,Technology,http://feeds.bbci.co.uk/news/technology/rss.xml,BBC - Technology,BBC_TE,https://www.bbc.co.uk/news/technology-50851409,https://stogaccytc001.blob.core.windows.net/images/BBC.png
BBC,Entertainment,http://feeds.bbci.co.uk/news/entertainment_and_arts/rss.xml,BBC - Entertainment,BBC_EN,https://www.bbc.co.uk/news/entertainment-arts-50390290,https://stogaccytc001.blob.core.windows.net/images/BBC.png
Wall Street Journal,Opinions,https://feeds.a.dj.com/rss/RSSOpinion.xml,WSJ - Opinions,WSJ_O,https://www.wsj.com/articles/pelosi-has-second-thoughts-11576802073,https://stogaccytc001.blob.core.windows.net/images/WSJ.jpg
Wall Street Journal,World,https://feeds.a.dj.com/rss/RSSWorldNews.xml,WSJ - World,WSJ_W,https://www.wsj.com/articles/trudeau-presses-u-s-to-secure-release-of-canadians-detained-in-china-11576794493,https://stogaccytc001.blob.core.windows.net/images/WSJ.jpg
Wall Street Journal,Business,https://feeds.a.dj.com/rss/WSJcomUSBusiness.xml,WSJ - Business,WSJ_BS,https://www.wsj.com/articles/apple-held-preliminary-talks-with-pac-12-conference-mgm-11576777844?mod=pls_whats_news_us_business_f,https://stogaccytc001.blob.core.windows.net/images/WSJ.jpg
Wall Street Journal,Technology,https://feeds.a.dj.com/rss/RSSWSJD.xml,WSJ - Technology,WSJ_TE,https://www.wsj.com/articles/apple-held-preliminary-talks-with-pac-12-conference-mgm-11576777844?mod=rss_Technology,https://stogaccytc001.blob.core.windows.net/images/WSJ.jpg
FOX,Top Stories,http://feeds.foxnews.com/foxnews/latest,FOX - Top Stories,FOX_TS,https://www.foxnews.com/media/laura-ingraham-slams-pelosi-over-fake-impeachment,https://stogaccytc001.blob.core.windows.net/images/FOX.png
FOX,World,http://feeds.foxnews.com/foxnews/world,FOX - World,FOX_W,http://feeds.foxnews.com/~r/foxnews/world/~3/L7hVrQwk-JA/former-taliban-hostage-cleared-of-all-charges-in-sex-assault-trial,https://stogaccytc001.blob.core.windows.net/images/FOX.png
FOX,Health,http://feeds.foxnews.com/foxnews/health,FOX - Health,FOX_HL,http://feeds.foxnews.com/~r/foxnews/health/~3/h2vMnTyRzEk/kristin-chenoweth-breaks-silence-on-set-accident-that-left-her-with-fractured-skull-i-came-to-understand-that-chronic-pain-was-real,https://stogaccytc001.blob.core.windows.net/images/FOX.png
FOX,Entertainment,http://feeds.foxnews.com/foxnews/entertainment,FOX - Entertainment,FOX_EN,http://feeds.foxnews.com/~r/foxnews/entertainment/~3/JToCzOI-gRQ/rachel-brosnahan-change-look-hollywood-early-career,https://stogaccytc001.blob.core.windows.net/images/FOX.png
